GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
1400000US29510102400,29510102400,"Census Tract 1024, St. Louis city, Missouri",2648,199,642,266,306,130,45,46,11,18,9,14,27,40,0,11,31,43,20,23,0,11,65,55,11,17,59,37,16,22,12,18,336,151,22,24,21,24,72,69,36,51,0,11,0,11,22,30,77,37,69,58,17,19,0,11,0,11,0,11,2006,268,1050,171,69,45,10,16,40,31,27,25,0,11,9,13,42,35,375,111,93,45,179,70,114,52,73,34,19,17,956,168,79,50,14,21,40,35,26,25,10,15,0,11,56,40,208,75,82,42,186,64,168,61,61,30,26,21
1400000US29510102500,29510102500,"Census Tract 1025, St. Louis city, Missouri",2011,184,216,86,97,49,0,11,0,11,22,18,0,11,0,11,0,11,0,11,0,11,44,28,17,27,11,12,3,6,0,11,119,52,6,9,10,15,6,8,0,11,0,11,11,15,5,7,19,17,27,25,12,13,5,7,3,5,15,19,1795,185,851,129,70,37,0,11,59,42,7,9,5,9,20,18,6,10,191,55,182,63,142,42,111,40,51,25,7,7,944,103,59,33,18,19,47,40,18,17,0,11,4,6,43,28,234,67,133,37,141,38,110,35,64,22,73,36
1400000US29510103100,29510103100,"Census Tract 1031, St. Louis city, Missouri",3220,255,264,203,82,71,0,11,0,11,0,11,41,65,0,11,0,11,6,9,0,11,0,11,26,26,9,13,0,11,0,11,182,140,41,65,0,11,0,11,0,11,0,11,0,11,38,51,8,12,41,66,10,16,35,46,0,11,9,14,2956,252,1251,143,99,53,0,11,35,30,52,48,0,11,6,11,31,37,270,89,330,91,159,64,180,54,57,34,32,25,1705,209,113,71,14,23,29,30,139,125,0,11,25,27,54,40,309,117,150,61,358,104,231,60,130,70,153,54
1400000US29510103400,29510103400,"Census Tract 1034, St. Louis city, Missouri",1873,121,190,83,77,47,9,12,0,11,9,12,0,11,0,11,0,11,0,11,3,5,9,12,14,14,24,32,9,12,0,11,113,58,0,11,11,13,0,11,10,14,0,11,0,11,1,3,23,21,33,39,12,14,6,9,6,6,11,11,1683,140,828,101,56,39,6,9,41,24,6,8,5,7,16,14,34,22,247,58,113,36,127,35,92,33,59,36,26,17,855,83,42,30,31,29,30,24,30,20,5,7,4,8,22,18,198,53,144,41,91,29,137,45,62,24,59,23
1400000US29510103600,29510103600,"Census Tract 1036, St. Louis city, Missouri",1448,155,262,111,146,97,26,21,0,11,15,24,15,24,0,11,0,11,27,27,17,22,8,9,15,16,14,21,9,11,0,11,116,46,0,11,0,11,15,24,0,11,0,11,0,11,0,11,21,29,11,12,0,11,37,27,4,7,28,27,1186,144,622,97,65,32,14,21,10,10,56,34,3,5,10,11,42,30,126,46,66,42,122,44,72,39,21,20,15,11,564,114,62,49,0,11,32,30,21,22,20,23,37,26,27,29,76,27,96,48,101,30,54,26,11,10,27,15
1400000US29510103700,29510103700,"Census Tract 1037, St. Louis city, Missouri",2408,274,254,88,158,70,0,11,0,11,9,14,0,11,6,10,0,11,28,39,22,22,27,42,15,19,15,22,19,20,17,26,96,55,0,11,0,11,0,11,0,11,0,11,0,11,0,11,10,15,20,21,0,11,41,38,17,24,8,12,2154,304,1103,200,43,42,0,11,48,57,30,26,15,23,0,11,42,36,268,121,291,95,174,76,100,44,76,38,16,18,1051,208,118,80,57,70,35,33,0,11,0,11,0,11,61,33,223,84,153,65,120,45,162,45,54,26,68,35
1400000US29510103800,29510103800,"Census Tract 1038, St. Louis city, Missouri",3890,278,195,78,78,41,10,15,0,11,0,11,0,11,0,11,0,11,0,11,17,18,2,4,22,23,1,4,0,11,26,25,117,60,17,21,0,11,0,11,0,11,0,11,0,11,0,11,21,23,0,11,20,20,18,15,16,20,25,22,3695,299,1819,160,138,72,0,11,120,51,20,19,11,13,8,13,129,66,315,82,298,69,287,82,319,78,108,43,66,34,1876,258,77,57,44,51,44,32,88,61,47,48,35,24,121,72,372,108,217,87,283,69,277,60,197,48,74,37
1400000US29510104200,29510104200,"Census Tract 1042, St. Louis city, Missouri",3378,271,403,185,235,129,17,24,0,11,10,15,0,11,0,11,8,14,20,20,104,103,22,23,26,30,19,28,9,13,0,11,168,92,0,11,11,17,14,19,14,19,0,11,0,11,47,43,28,28,26,24,12,19,7,11,0,11,9,13,2975,266,1698,185,80,47,0,11,63,64,10,14,0,11,23,22,132,87,606,136,310,94,149,67,182,64,90,31,53,34,1277,179,73,57,11,16,7,12,0,11,28,27,0,11,132,87,361,100,119,62,215,70,142,52,115,51,74,36
1400000US29510104500,29510104500,"Census Tract 1045, St. Louis city, Missouri",1596,263,191,92,64,53,0,11,0,11,0,11,3,7,0,11,0,11,23,28,13,21,14,22,4,9,7,14,0,11,0,11,127,86,0,11,0,11,0,11,8,14,0,11,0,11,24,30,67,55,10,13,8,13,10,16,0,11,0,11,1405,246,687,152,39,32,0,11,18,21,16,29,0,11,6,10,28,22,220,68,154,65,89,43,69,38,35,24,13,15,718,150,23,19,0,11,0,11,0,11,7,11,5,10,57,44,217,93,91,55,102,70,90,39,26,23,100,37
1400000US29510105198,29510105198,"Census Tract 1051.98, St. Louis city, Missouri",3471,336,831,275,306,175,0,11,0,11,0,11,0,11,0,11,0,11,240,175,18,19,11,16,0,11,10,16,8,14,19,24,525,229,0,11,0,11,0,11,0,11,0,11,5,9,349,205,135,107,14,22,0,11,21,22,1,2,0,11,2640,283,1240,172,75,38,16,18,72,78,33,28,0,11,33,29,101,66,249,74,134,45,172,67,172,66,123,47,60,35,1400,221,39,27,0,11,25,20,38,25,0,11,41,42,78,48,513,216,146,55,143,60,210,64,128,52,39,30
1400000US29510105200,29510105200,"Census Tract 1052, St. Louis city, Missouri",2972,266,368,127,177,90,0,11,0,11,12,18,0,11,0,11,0,11,71,61,50,56,0,11,34,37,10,17,0,11,0,11,191,85,0,11,0,11,0,11,0,11,0,11,9,14,88,58,22,35,11,17,17,18,36,26,0,11,8,13,2604,321,1401,243,81,51,0,11,74,54,46,43,0,11,23,34,87,61,510,183,91,50,162,55,161,73,63,50,103,47,1203,176,20,18,0,11,97,51,12,18,0,11,11,16,87,59,337,91,203,80,151,64,110,61,105,43,70,38
1400000US29510105300,29510105300,"Census Tract 1053, St. Louis city, Missouri",2426,351,698,214,278,109,23,35,17,28,17,28,0,11,0,11,9,13,30,36,36,40,36,34,82,64,21,34,7,11,0,11,420,142,61,46,0,11,29,32,0,11,0,11,8,13,92,60,26,29,0,11,122,59,46,40,14,19,22,23,1728,354,789,161,45,51,8,13,92,57,29,29,0,11,27,29,73,57,86,63,111,56,64,44,91,62,103,51,60,32,939,243,59,47,0,11,46,37,42,35,0,11,18,22,94,83,155,85,171,86,132,69,43,37,105,38,74,48
1400000US29510105400,29510105400,"Census Tract 1054, St. Louis city, Missouri",2327,323,802,188,298,91,61,45,7,10,61,36,28,24,7,11,13,16,52,42,18,20,13,16,0,11,6,14,15,19,17,19,504,119,32,29,15,14,80,50,20,18,0,11,21,16,37,25,81,42,61,38,43,30,29,21,60,27,25,22,1525,309,738,182,89,53,17,25,72,45,29,22,31,42,34,27,95,44,64,38,72,48,142,80,53,31,26,17,14,14,787,208,44,39,18,20,39,31,55,32,21,22,6,9,137,79,74,34,146,47,95,51,60,35,34,21,58,27
1400000US29510105500,29510105500,"Census Tract 1055, St. Louis city, Missouri",2981,386,942,392,274,133,0,11,0,11,45,60,52,71,0,11,0,11,66,66,18,31,0,11,39,43,45,46,0,11,9,15,668,322,0,11,0,11,84,76,76,66,51,71,71,60,67,91,59,67,112,90,21,23,16,19,61,52,50,56,2039,424,872,231,18,30,20,24,50,68,16,20,31,45,19,20,75,90,119,125,96,65,164,83,162,55,78,63,24,29,1167,255,26,30,9,15,119,80,19,30,0,11,0,11,155,93,64,58,182,105,170,89,207,80,93,56,123,51
1400000US29510106100,29510106100,"Census Tract 1061, St. Louis city, Missouri",1724,240,709,213,322,117,68,53,6,9,40,46,9,15,0,11,18,18,25,26,25,21,22,20,78,44,16,14,10,17,5,8,387,123,32,28,0,11,24,28,24,22,0,11,10,17,54,37,13,13,58,38,78,46,37,21,23,16,34,18,1015,194,497,126,13,15,0,11,16,20,16,19,17,18,4,7,35,34,87,46,51,38,83,46,55,51,52,32,68,40,518,120,13,21,0,11,4,8,44,43,0,11,11,18,38,37,29,27,56,32,90,51,91,48,40,20,102,37
1400000US29510106200,29510106200,"Census Tract 1062, St. Louis city, Missouri",1816,328,1176,341,511,186,192,131,20,24,43,52,14,17,0,11,9,13,16,16,62,51,86,64,19,24,50,37,0,11,0,11,665,236,118,75,67,60,39,51,31,27,11,16,62,48,92,47,93,73,23,22,35,32,49,54,33,27,12,11,640,219,303,120,14,23,0,11,13,21,0,11,0,11,33,36,37,42,8,13,88,60,54,38,19,17,13,19,24,24,337,124,16,25,5,9,14,22,11,16,9,15,12,21,36,33,34,45,61,49,14,15,33,24,36,28,56,35
1400000US29510106300,29510106300,"Census Tract 1063, St. Louis city, Missouri",1455,236,432,186,104,60,18,29,0,11,19,22,0,11,0,11,0,11,15,23,0,11,0,11,36,27,11,11,5,7,0,11,328,157,54,69,0,11,6,9,22,26,0,11,0,11,47,44,27,28,33,38,68,44,20,20,14,14,37,28,1023,285,488,148,32,38,8,12,51,59,14,25,0,11,12,15,43,45,67,52,42,40,71,47,54,32,64,36,30,18,535,194,7,13,0,11,110,86,8,13,0,11,0,11,63,46,0,11,118,51,59,37,76,40,34,22,60,30
1400000US29510106400,29510106400,"Census Tract 1064, St. Louis city, Missouri",2445,370,737,253,341,146,0,11,0,11,53,41,25,30,0,11,0,11,18,28,95,101,60,66,75,53,15,24,0,11,0,11,396,165,0,11,0,11,82,61,76,61,0,11,0,11,79,64,35,34,21,23,54,52,33,38,0,11,16,17,1708,452,648,215,0,11,0,11,47,51,44,37,0,11,20,23,21,24,127,99,113,96,86,52,114,57,68,37,8,13,1060,283,28,45,8,12,99,91,35,27,8,13,14,19,75,48,162,101,58,43,205,74,158,74,119,54,91,40
1400000US29510106500,29510106500,"Census Tract 1065, St. Louis city, Missouri",2468,312,646,245,293,126,35,43,0,11,19,30,21,25,10,16,0,11,43,50,73,56,0,11,33,28,43,46,7,12,9,15,353,150,20,38,0,11,22,28,23,27,9,13,3,8,47,52,67,52,8,16,82,42,17,19,20,34,35,26,1822,340,883,210,103,107,0,11,31,49,34,47,12,21,0,11,144,103,52,39,59,50,156,103,86,64,114,67,92,62,939,236,17,28,0,11,22,25,0,11,12,20,59,48,67,61,222,148,112,66,111,66,185,74,68,43,64,40
1400000US29510106600,29510106600,"Census Tract 1066, St. Louis city, Missouri",1675,267,878,238,419,139,27,35,0,11,47,35,32,43,0,11,4,7,53,39,63,62,53,50,51,45,64,41,15,14,10,11,459,135,50,58,0,11,60,38,24,24,7,11,6,10,77,46,29,24,55,32,64,51,33,25,39,26,15,14,797,209,378,100,7,12,0,11,6,10,6,9,6,9,0,11,44,34,57,40,77,51,86,47,28,19,38,29,23,17,419,136,0,11,14,20,49,45,6,10,6,8,4,8,47,28,63,46,43,35,64,43,77,34,21,17,25,18
